Count,Sport,Matchup,Pick Type,Pick
16,NBA,Detroit @ Brooklyn,Total (Over),Over 226.5
16,NHL,Winnipeg @ San Jose,Total (Over),Over 6.5
15,College Basketball,Oakland @ Purdue,Spread (ATS),PUR -30.5
15,College Basketball,Morehead St. @ Wake Forest,Spread (ATS),WAKE -19.5
15,College Basketball,Hofstra @ Iona,Total (Over),Over 145.5
15,College Basketball,Siena @ Brown,Spread (ATS),SIE -1.5
15,College Basketball,Wagner @ Seton Hall,Total (Over),Over 132.5
15,College Basketball,UL Monroe @ Mississippi,Spread (ATS),MISS -35.5
15,College Basketball,UMass Lowell @ Connecticut,Total (Over),Over 152.5
15,College Basketball,Valparaiso @ Kentucky,Total (Over),Over 157.0
15,College Basketball,Bryant @ Georgia Tech,Spread (ATS),GT -15.5
14,NBA,Chicago @ Milwaukee,Spread (ATS),MIL -4.0
14,NBA,Houston @ San Antonio,Total (Over),Over 224.0
14,NBA,Golden State @ Denver,Total (Over),Over 228.5
14,NHL,Minnesota @ NY Islanders,Total (Over),Over 6.5
14,College Basketball,Gardner-Webb @ Clemson,Total (Under),Under 148.5
14,College Basketball,Boston U @ Northwestern,Total (Over),Over 136.5
14,College Basketball,SE Missouri St. @ Missouri,Total (Over),Over 157.5
14,College Basketball,NIU @ Wisconsin,Spread (ATS),WIS -28.5
13,NFL,Buffalo @ Miami,Total (Under),Under 50.0
13,NBA,Boston @ Orlando,Spread (ATS),ORL -3.5
13,NBA,Dallas @ Memphis,Spread (ATS),MEM -4.5
13,NBA,Houston @ San Antonio,Spread (ATS),SA +4.0
13,NBA,Toronto @ Atlanta,Spread (ATS),ATL -2.5
13,NHL,Chicago @ Calgary,Spread (ATS),CHI +130
13,College Basketball,Gardner-Webb @ Clemson,Spread (ATS),CLEM -30.0
13,College Basketball,Stonehill @ DePaul,Spread (ATS),DEP -22.0
13,College Basketball,Youngstown St. @ Grand Canyon,Total (Over),Over 152.5
13,College Basketball,Sam Houston St. @ Texas Tech,Total (Over),Over 152.0
13,College Basketball,Kansas City @ Southern IL,Spread (ATS),SIU -13.0
13,College Basketball,Yale @ Navy,Spread (ATS),YALE -6.5
13,College Basketball,Rice @ Oregon,Spread (ATS),ORE -15.5
13,College Basketball,Georgetown @ Maryland,Total (Over),Over 146.5
13,College Basketball,Fort Wayne @ Ohio St.,Total (Over),Over 163.5
13,College Basketball,Northeastern @ Colgate,Spread (ATS),COLG -5.5
12,NFL,New England @ Tampa Bay,Spread (ATS),TB -2.5
12,NBA,Houston @ San Antonio,Total (Over),Over 223.5
12,NBA,Detroit @ Brooklyn,Total (Over),Over 227.0
12,NBA,Cleveland @ Washington,Spread (ATS),WAS +13.5
12,NHL,Winnipeg @ San Jose,Spread (ATS),SJ +165
12,College Football,Houston @ UCF,Spread (ATS),HOU -1.0
12,College Basketball,Boston U @ Northwestern,Spread (ATS),BU +16.5
12,College Basketball,CA Baptist @ UC Irvine,Total (Over),Over 146.5
12,College Basketball,VMI @ Southern Indiana,Spread (ATS),VMI -2.5
12,College Basketball,Northeastern @ Colgate,Spread (ATS),COLG -3.5
12,College Basketball,Western Illinois @ Iowa,Total (Over),Over 145.5
12,College Basketball,Arkansas St. @ SFA,Spread (ATS),ARST -1.5
12,College Basketball,UAB @ NC State,Spread (ATS),NCST -20.5
12,CFL,Montreal @ Hamilton,Total (Over),Over 52.5
12,CFL,BC @ Saskatchewan,Spread (ATS),SSK -3.5
11,NFL,L.A. Rams @ San Francisco,Total (Under),Under 49.5
11,NHL,NY Rangers @ Detroit,Total (Over),Over 6.0
11,College Basketball,Columbia @ New Haven,Spread (ATS),CLMB -6.5
11,College Basketball,Longwood @ Pittsburgh,Spread (ATS),PITT -17.5
11,College Basketball,Kansas @ North Carolina,Spread (ATS),UNC -1.5
11,College Basketball,Washington St. @ Davidson,Total (Over),Over 153.5
11,College Basketball,UMass Lowell @ Connecticut,Spread (ATS),CONN -35.5
11,College Basketball,Yale @ Navy,Total (Over),Over 147.5
11,College Basketball,Utah Tech @ Arizona,Spread (ATS),ARIZ -33.5
11,College Basketball,Green Bay @ Buffalo,Spread (ATS),BUFF -7.0
11,College Basketball,Sacred Heart @ Duquesne,Spread (ATS),DUQ -11.0
11,College Basketball,SC State @ Samford,Spread (ATS),SAM -13.5
11,College Basketball,CA Baptist @ UC Irvine,Spread (ATS),UCI -7.5
10,NFL,Atlanta @ Indianapolis,Total (Over),Over 48.5
10,NFL,Atlanta @ Indianapolis,Total (Under),Under 48.5
10,NBA,Toronto @ Atlanta,Total (Over),Over 234.5
10,NBA,Detroit @ Brooklyn,Spread (ATS),DET -10.5
10,College Basketball,Boston U @ Northwestern,Total (Under),Under 136.5
10,College Basketball,Fort Wayne @ Ohio St.,Spread (ATS),OSU -22.0
10,College Basketball,Alabama St. @ Florida State,Total (Over),Over 163.5
10,College Basketball,Utah Tech @ Arizona,Spread (ATS),ARIZ -31.5
10,College Basketball,Northeastern @ Colgate,Total (Over),Over 147.5
10,College Basketball,Charleston @ Liberty,Total (Over),Over 148.5
10,College Basketball,NC Central @ Virginia,Total (Over),Over 153.5
10,College Basketball,Troy @ Furman,Total (Over),Over 153.5
10,College Basketball,Winthrop @ George Mason,Total (Over),Over 147.0
10,College Basketball,SC State @ Samford,Total (Over),Over 155.0
10,College Basketball,Illinois-Chicago @ Oregon St.,Total (Over),Over 149.0
10,College Basketball,Tulsa @ Rhode Island,Spread (ATS),URI -3.0
10,College Basketball,Oakland @ Purdue,Spread (ATS),PUR -31.5
10,College Basketball,Washington St. @ Davidson,Total (Under),Under 153.5
10,College Basketball,Northeastern @ Colgate,Total (Under),Under 147.5
10,College Basketball,Troy @ Furman,Spread (ATS),FUR -2.5
10,College Basketball,Illinois-Chicago @ Oregon St.,Spread (ATS),ORST -3.5
10,College Basketball,FGCU @ Illinois,Total (Over),Over 160.5
10,College Basketball,Bucknell @ Mount St. Mary's,Spread (ATS),MSM -1.5
10,College Basketball,Kansas @ North Carolina,Spread (ATS),UNC -2.5
9,NBA,Boston @ Orlando,Spread (ATS),BOS +3.5
9,NBA,Cleveland @ Washington,Total (Under),Under 241.5
9,NBA,Cleveland @ Washington,Total (Under),Under 241.0
9,NBA,Chicago @ Milwaukee,Spread (ATS),MIL -4.5
9,NBA,Boston @ Orlando,Spread (ATS),ORL -3.0
9,NBA,Golden State @ Denver,Spread (ATS),DEN -10.0
9,NHL,Minnesota @ NY Islanders,Total (Under),Under 6.5
9,NHL,Winnipeg @ San Jose,Spread (ATS),WIN -200
9,College Basketball,Sacred Heart @ Duquesne,Spread (ATS),DUQ -12.0
9,College Basketball,Bryant @ Georgia Tech,Spread (ATS),BRY +15.5
9,College Basketball,Miss Valley St @ Murray St.,Total (Over),Over 154.5
9,College Basketball,Rice @ Oregon,Spread (ATS),RICE +15.5
9,College Basketball,Illinois-Chicago @ Oregon St.,Spread (ATS),ORST -5.0
9,College Basketball,Georgetown @ Maryland,Spread (ATS),MD -5.5
9,College Basketball,Kansas @ North Carolina,Spread (ATS),KU +2.5
9,College Basketball,Troy @ Furman,Spread (ATS),TROY +2.5
9,College Basketball,Hofstra @ Iona,Spread (ATS),IONA +1.5
9,College Basketball,Detroit Mercy @ Notre Dame,Spread (ATS),ND -20.5
8,NFL,Atlanta @ Indianapolis,Spread (ATS),IND -6.5
8,NFL,Pittsburgh @ L.A. Chargers,Spread (ATS),LAC -3.0
8,NBA,Chicago @ Milwaukee,Total (Under),Under 240.5
8,NBA,Golden State @ Denver,Spread (ATS),GS +10.0
8,NBA,Utah @ Minnesota,Spread (ATS),UTA +11.5
8,NBA,Oklahoma City @ Sacramento,Spread (ATS),SAC +11.0
8,NHL,NY Rangers @ Detroit,Total (Under),Under 6.0
8,NHL,Minnesota @ NY Islanders,Spread (ATS),NYI -135
8,NHL,Minnesota @ NY Islanders,Spread (ATS),NYI -155
8,College Football,Northwestern @ USC,Spread (ATS),USC -14.5
8,College Football,Tulane @ Memphis,Spread (ATS),MEM -3.5
8,College Basketball,Winthrop @ George Mason,Total (Under),Under 147.0
8,College Basketball,SC State @ Samford,Total (Under),Under 155.0
8,College Basketball,Utah Tech @ Arizona,Total (Over),Over 164.5
8,College Basketball,Green Bay @ Buffalo,Spread (ATS),BUFF -5.5
8,College Basketball,Hofstra @ Iona,Spread (ATS),IONA -1.0
8,College Basketball,Western Illinois @ Iowa,Total (Over),Over 146.5
8,College Basketball,Arkansas St. @ SFA,Total (Over),Over 153.0
8,College Basketball,Stonehill @ DePaul,Spread (ATS),DEP -24.0
8,College Basketball,Stonehill @ DePaul,Total (Over),Over 146.0
8,College Basketball,Kansas City @ Southern IL,Total (Over),Over 141.5
8,College Basketball,CA Baptist @ UC Irvine,Spread (ATS),UCI -8.5
8,College Basketball,Tulsa @ Rhode Island,Total (Under),Under 154.5
8,College Basketball,Green Bay @ Buffalo,Total (Over),Over 153.5
8,College Basketball,Columbia @ New Haven,Spread (ATS),CLMB -7.5
8,College Basketball,Arkansas St. @ SFA,Total (Under),Under 153.0
8,College Basketball,Gardner-Webb @ Clemson,Total (Over),Over 148.5
8,College Basketball,Nicholls State @ Eastern Illinois,Spread (ATS),NICH -2.0
8,College Basketball,NIU @ Wisconsin,Spread (ATS),WIS -27.5
8,College Basketball,McNeese St. @ Santa Clara,Spread (ATS),SCU -6.5
8,College Basketball,Pepperdine @ UCLA,Total (Over),Over 153.5
8,College Basketball,Georgetown @ Maryland,Spread (ATS),MD -7.0
8,College Basketball,Longwood @ Pittsburgh,Spread (ATS),PITT -17.0
8,College Basketball,Bryant @ Georgia Tech,Spread (ATS),GT -16.5
8,College Basketball,McNeese St. @ Santa Clara,Total (Over),Over 153.0
8,College Basketball,Green Bay @ Buffalo,Spread (ATS),BUFF -4.0
8,College Basketball,Alabama St. @ Florida State,Spread (ATS),FSU -25.0
8,College Basketball,Oakland @ Purdue,Total (Over),Over 159.5
8,College Basketball,Miss Valley St @ Murray St.,Total (Over),Over 159.5
8,College Basketball,Sam Houston St. @ Texas Tech,Total (Over),Over 156.5
8,College Basketball,VMI @ Southern Indiana,Spread (ATS),VMI -1.0
8,CFL,Montreal @ Hamilton,Spread (ATS),MTL -2.5
8,CFL,Montreal @ Hamilton,Total (Under),Under 52.5
8,CFL,BC @ Saskatchewan,Spread (ATS),BC +3.5
7,NFL,Arizona @ Seattle,Total (Over),Over 44.5
7,NFL,New England @ Tampa Bay,Spread (ATS),NE +2.5
7,NFL,New Orleans @ Carolina,Spread (ATS),CAR -5.5
7,NFL,N.Y. Giants @ Chicago,Spread (ATS),CHI -3.5
7,NBA,Dallas @ Memphis,Total (Over),Over 231.5
7,NBA,Golden State @ Denver,Total (Over),Over 228.0
7,NBA,Oklahoma City @ Sacramento,Spread (ATS),OKC -11.0
7,NBA,Dallas @ Memphis,Spread (ATS),DAL +4.5
7,NHL,NY Rangers @ Detroit,Spread (ATS),DET -110
7,NHL,Chicago @ Calgary,Total (Under),Under 6.0
7,NHL,Chicago @ Calgary,Spread (ATS),CAL -155
7,NHL,NY Rangers @ Detroit,Spread (ATS),NYR -110
7,College Football,Houston @ UCF,Total (Over),Over 47.5
7,College Football,Tulane @ Memphis,Spread (ATS),TULN +3.5
7,College Basketball,Miss Valley St @ Murray St.,Spread (ATS),MURR -38.5
7,College Basketball,VMI @ Southern Indiana,Total (Over),Over 153.5
7,College Basketball,Bucknell @ Mount St. Mary's,Spread (ATS),MSM -3.5
7,College Basketball,Valparaiso @ Kentucky,Spread (ATS),VALP +32.5
7,College Basketball,Oakland @ Purdue,Total (Over),Over 158.5
7,College Basketball,Arkansas St. @ SFA,Spread (ATS),ARST -1.0
7,College Basketball,Idaho State @ San Diego,Spread (ATS),USD -4.0
